danceability,energy,speechiness,instrumentalness,liveness,valence,tempo,duration_min,release_year,key,mode,time_signature,playlist_genre,track_popularity,label_kaggle
0.575,0.912,0.0393,0.00211,0.0562,0.843,117.399,3.45445,2022.0,7.0,0.0,4.0,rock,69,1
0.654,0.611,0.119,0.000178,0.405,0.786,85.387,3.9166666666666665,1994.0,2.0,1.0,4.0,rock,69,1
0.529,0.482,0.0599,0.0,0.0842,0.492,138.453,8.614883333333333,2022.0,4.0,0.0,4.0,rock,74,1
0.618,0.748,0.358,4.1e-06,0.0473,0.663,134.114,3.199116666666667,1978.0,0.0,1.0,4.0,rock,77,1
0.586,0.7,0.0363,0.00125,0.0318,0.897,147.245,4.923333333333333,1979.0,0.0,1.0,4.0,rock,69,1
0.575,0.318,0.109,0.000202,0.0934,0.385,104.522,4.2362166666666665,1972.0,0.0,1.0,4.0,rock,74,1
0.445,0.706,0.0461,0.000252,0.205,0.768,80.823,4.445333333333333,2022.0,8.0,1.0,4.0,rock,70,1
0.574,0.913,0.133,0.00158,0.156,0.423,115.728,3.473333333333333,1979.0,6.0,0.0,4.0,rock,84,1
0.532,0.495,0.0343,0.0,0.0754,0.308,124.936,3.570666666666667,2022.0,10.0,1.0,4.0,rock,79,1
0.284,0.875,0.0422,0.000461,0.402,0.595,75.009,5.681783333333334,1991.0,11.0,0.0,4.0,rock,73,1
0.662,0.737,0.0296,0.0191,0.119,0.744,103.867,5.496666666666667,1989.0,0.0,1.0,4.0,rock,69,1
0.666,0.936,0.0476,0.086,0.153,0.776,91.577,4.715116666666667,1991.0,7.0,1.0,4.0,rock,72,1
0.475,0.432,0.0302,0.0,0.161,0.648,94.605,2.5577833333333335,1997.0,7.0,1.0,4.0,rock,79,1
0.516,0.549,0.0373,0.00572,0.184,0.907,176.941,4.812216666666667,1984.0,6.0,1.0,4.0,rock,73,1
0.421,0.751,0.0472,0.0,0.17,0.789,89.839,2.4311166666666666,1967.0,9.0,1.0,4.0,rock,72,1
0.324,0.938,0.102,0.0321,0.0961,0.543,168.131,2.974,1994.0,6.0,0.0,4.0,rock,71,1
0.267,0.953,0.096,0.0,0.283,0.568,84.989,4.455116666666667,1987.0,1.0,0.0,4.0,rock,72,1
0.465,0.919,0.0408,2.07e-05,0.262,0.537,135.997,3.92155,1999.0,4.0,1.0,4.0,rock,73,1
0.741,0.58,0.0304,3.61e-05,0.212,0.944,127.402,2.85445,1980.0,4.0,1.0,4.0,rock,70,1
0.404,0.72,0.0623,0.836,0.0466,0.475,121.864,4.307783333333333,2022.0,10.0,0.0,4.0,rock,73,1
0.215,0.927,0.0452,0.00661,0.126,0.49,170.814,3.24755,1994.0,9.0,1.0,4.0,rock,72,1
0.651,0.801,0.0514,0.0,0.0825,0.776,133.769,3.3413333333333335,2022.0,0.0,1.0,4.0,rock,70,1
0.481,0.262,0.0414,0.0114,0.832,0.375,122.861,5.579066666666667,1975.0,7.0,1.0,4.0,rock,75,1
